trace_id,capability_id,requirement_id,requirement_name,document,spec_id,module,work_package,code_location,authoritative_store,entities,api_operations,events,ui_surfaces,error_codes,risk_class,signature_relevant,test_case_ids,test_case_count,qualification_stage,evidence_location,prompt_file,build_stage,verification_state,validation_state,gap_reference,source_file
TR-00011,MAT-018; MD-010,MUT-FR-011,Reason-for-change enforcement,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-011-01; TC-003-011-02,2,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,SG-038,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00012,MAT-018; MD-010,MUT-FR-012,Signature requirement determination,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,yes,TC-003-012-01; TC-003-012-02; TC-003-012-03,3,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00013,MAT-018; MD-010,MUT-FR-013,Signature challenge integration,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,yes,TC-003-013-01; TC-003-013-02; TC-003-013-03; TC-003-013-04,4,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00014,MAT-018; MD-010,MUT-FR-014,Domain-rule evaluation,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,yes,TC-003-014-01; TC-003-014-02; TC-003-014-03; TC-003-014-04,4,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,VERIFIED,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00015,MAT-018; MD-010,MUT-FR-015,Authoritative PostgreSQL transaction,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-015-01; TC-003-015-02; TC-003-015-03; TC-003-015-04,4,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00016,MAT-018; MD-010,MUT-FR-016,Audit event creation,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,yes,TC-003-016-01; TC-003-016-02; TC-003-016-03; TC-003-016-04,4,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00017,MAT-018; MD-010,MUT-FR-017,Record hash,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-017-01; TC-003-017-02; TC-003-017-03,3,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00018,MAT-018; MD-010,MUT-FR-018,Transactional outbox,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-018-01; TC-003-018-02; TC-003-018-03,3,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00019,MAT-018; MD-010,MUT-FR-019,Mutation receipt,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type}; contract: contracts/openapi/spec-gxp-001.yaml,,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,yes,TC-003-019-01; TC-003-019-02; TC-003-019-03; TC-003-019-04,4,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00020,MAT-018; MD-010,MUT-FR-020,Projection update isolation,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-020-01,1,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,BLOCKED,NOT_VALIDATED,revisit ADR-0008 (apps/ebmr_frappe not scaffolded),Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00021,MAT-018; MD-010,MUT-FR-021,Failure classification,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type}; contract: contracts/openapi/spec-gxp-001.yaml,,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,yes,TC-003-021-01; TC-003-021-02; TC-003-021-03; TC-003-021-04,4,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00022,MAT-018; MD-010,MUT-FR-022,Fail closed for compliance dependencies,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,yes,TC-003-022-01; TC-003-022-02; TC-003-022-03; TC-003-022-04,4,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00023,MAT-018; MD-010,MUT-FR-023,Integration identity,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-023-01; TC-003-023-02; TC-003-023-03; TC-003-023-04,4,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,BLOCKED,NOT_VALIDATED,SG-025,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00024,MAT-018; MD-010,MUT-FR-024,Device/input source validation,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,yes,TC-003-024-01; TC-003-024-02,2,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,BLOCKED,NOT_VALIDATED,SG-025,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
TR-00025,MAT-018; MD-010,MUT-FR-025,Late/replayed command control,Document 03,SPEC-GXP-001,SPEC-GXP-001,WP-01,services/gxp-api/app/mutation,"PostgreSQL (GxP Core, authoritative)",CommandReceipt; IdempotencyRecord; OutboxEvent; gxp_command_receipt; gxp_outbox,POST /gxp/v1/commands/{commandType}; GET /gxp/v1/commands/{commandId}/receipt; GET /gxp/v1/records/{type}/{id}/mutation-history; POST /gxp/v1/commands/{command_type},,,ACTION_NOT_AUTHORIZED; AUTHENTICATION_REQUIRED; COMMAND_UNKNOWN; DEPENDENCY_UNAVAILABLE; EXPECTED_VERSION_REQUIRED; IDEMPOTENCY_CONFLICT; QUALIFICATION_REQUIRED; REASON_REQUIRED,HIGHER-PROCESS-RISK,no,TC-003-025-01; TC-003-025-02; TC-003-025-03; TC-003-025-04,4,OQ,validation/evidence/oq/SPEC-GXP-001/,prompts/WP-01/03_SPEC-GXP-001.md,IN_DEVELOPMENT,IN_PROGRESS,NOT_VALIDATED,,Document_03_GxP_Mutation_Gateway_Specification_v1_1_IMPLEMENTATION_READY.md
