requirement_id,document,spec_id,module_title,work_package,code_location,requirement_name,required_behavior,acceptance_intent,source_section,provisional_risk_class,authoritative_store,source_file
MAT-006,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Purchase Order,material/spec version; supplier/manufacturer; quantity; delivery terms; approval; ERP synchronization,Native regulated procurement or ERP adapter,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-007,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Material Receipt / GRN,PO match; received quantity; manufacturer lot; supplier lot; internal lot; container IDs; receipt date; damage inspection,Material service + warehouse UI,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-008,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,COA Management,COA attachment; supplier test values; document authenticity metadata; version; review; discrepancy handling,Frappe documents + GxP audit,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-009,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Quarantine,automatic quarantine at receipt; location restriction; status labels; access control,Material Status Engine,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-010,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Sampling,sampling plan; sample quantity; sampler; sample IDs; container selection; chain of custody; LIMS transfer,QC/Sample module,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-011,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,QC Disposition,pending; released; rejected; conditional/use-under-deviation if allowed; retest; expiry/retest,QC + Quality Status Engine,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-012,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Warehouse/Location,warehouse; zone; bin; environmental requirement; restricted area; status segregation,Frappe/ERP adapter,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-013,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,FEFO / Eligibility,expiry/retest; released status; site; product applicability; reservation; blocked lot; deviation override,GxP Material Eligibility Engine,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-014,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Material Reservation,batch reservation; quantity; expiry; release; conflict handling,Inventory service,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-015,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Material Issue,issue to batch/area; scan verification; lot/container; quantity; operator,Inventory + genealogy,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-016,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Material Dispensing,target; tolerance; balance; actual quantity; verifier; potency adjustment; labels,Dispensing Engine,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-017,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Material Return,unused quantity; container state; return location; status reevaluation,Material service,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-018,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Inventory Adjustment,controlled adjustment; reason; independent approval where required; audit,GxP Mutation Gateway,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-019,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Destruction,destruction request; authorization; quantity; witness; method; evidence,QMS/material disposition,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-020,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Reconciliation,received/issued/dispensed/consumed/returned/destroyed variance; tolerance; exception,Reconciliation Engine,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-021,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Material Genealogy,supplier/manufacturer lot → internal lot → container → batch → finished product,Genealogy Service,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
MAT-022,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,ERP Synchronization,master sync; PO sync; inventory quantity/value sync; consumption posting; retry/reconciliation,Adapter layer,7A.2 Required procurement and material sub-functionalities,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-019,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Master Manufacturing Record,"Defines the controlled manufacturing instructions from which executable batches are created. It includes materials, quantities, sequence, parameters, instructions, checks and signatures.","Authoring UI in Frappe. Once approved, GxP Core produces immutable Released Master Version.",8. MASTER RECIPE / MANUFACTURING SPECIFICATION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-020,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Recipe Version Control,Every released recipe is permanently identifiable. A new change creates a new version instead of altering the record used by previous batches.,Frappe manages draft workflow. GxP Version Vault stores immutable released snapshot/hash.,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-021,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Effective Dating,Defines when a recipe/specification may begin and cease being used. Prevents users from manually choosing obsolete versions.,Frappe configuration + GxP effective-date rules.,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-022,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Structured Steps,Every operation is represented as a structured executable step instead of uncontrolled free text.,Frappe child/linked DocTypes define steps. Proprietary Execution Engine interprets them.,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-023,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Step Dependencies,Defines which step must be completed before another begins and supports conditional/parallel branches.,**Proprietary execution graph.** Temporal may optionally provide durable orchestration.,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-024,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Parameter Definitions,"Defines target, minimum, maximum, precision, unit, required evidence and source of each process parameter.",Frappe recipe authoring; GxP Rules Engine enforces execution.,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-025,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Calculation Definitions,"Defines controlled calculations such as potency correction, yield, reconciliation and unit conversions.","Formula definition may be configured in Frappe, but executable calculation library must be version-controlled, tested and released as software.",8. MASTER RECIPE / MANUFACTURING SPECIFICATION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-026,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Instruction Versioning,Ensures the instruction displayed during manufacturing is exactly the approved instruction associated with that batch version.,Frozen recipe snapshot rendered by GxP service; no live reference to mutable master text.,8. MASTER RECIPE / MANUFACTURING SPECIFICATION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-027,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Batch Creation,Creates the executable manufacturing instance using an approved product/recipe/version and target quantity.,Frappe initiation screen → GxP Batch Service.,9. BATCH / LOT EXECUTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-028,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Unique Batch Number,Generates a unique controlled identifier and prevents duplicates or silent reuse.,Naming service; may integrate ERP numbering but GxP Core enforces uniqueness.,9. BATCH / LOT EXECUTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-029,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Frozen Batch Snapshot,"Once created, the batch captures the exact recipe/specification version used. Subsequent master-data changes cannot silently affect execution.",**Proprietary immutable snapshot mechanism.**,9. BATCH / LOT EXECUTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-030,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Batch Lifecycle,Supports states such as Planned → Issued → In Execution → Production Complete → QA Review → Released/Rejected → Closed.,Frappe visual workflow; GxP state machine is authoritative.,9. BATCH / LOT EXECUTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-031,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Step-by-Step Execution,Presents only valid executable steps and captures required results/evidence before completion.,Custom Frappe/React execution UI calling GxP Execution API.,9. BATCH / LOT EXECUTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-032,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Sequence Enforcement,Prevents a user from bypassing required steps unless a specifically authorized exception path exists.,GxP Execution Engine.,9. BATCH / LOT EXECUTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-033,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Pause / Resume,"Allows controlled suspension caused by hold, equipment issue, shift change or investigation without losing state.",GxP state machine; Temporal is attractive for durable long-running execution.,9. BATCH / LOT EXECUTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-034,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Parallel Operations,Allows valid simultaneous manufacturing activities while preserving dependencies.,Proprietary execution graph/Temporal workflow.,9. BATCH / LOT EXECUTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-035,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Conditional Operations,"Branches manufacturing based on results, product configuration or approved predefined conditions.",Rules Engine; conditions versioned with recipe.,9. BATCH / LOT EXECUTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-036,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Automatic Exception,Out-of-limit or unexpected values automatically create/block/route exceptions instead of relying on operator judgment alone.,GxP Rules + Quality Event Service.,9. BATCH / LOT EXECUTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-037,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Production Hold,Authorized personnel can place batch/step/material on hold with reason and signature.,Frappe display; GxP policy/state transition.,9. BATCH / LOT EXECUTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-038,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Controlled Resume,Hold release requires defined disposition and authorized signature.,GxP E-Signature + execution state transition.,9. BATCH / LOT EXECUTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-039,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Material Requirement,"Determines required component, target quantity and allowable alternatives from approved recipe.",GxP Recipe Service. ERP may provide inventory information.,10. MATERIAL DISPENSING AND CONSUMPTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-040,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Lot Selection,"Only eligible released lots may be selected. Expired, rejected, quarantined or wrong-material lots are blocked.",ERP inventory adapter + GxP Material Eligibility Engine.,10. MATERIAL DISPENSING AND CONSUMPTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-041,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Barcode Scanning,"Verifies material, lot/container and location to reduce manual identification errors.",Custom scanner UI; hardware/browser integration.,10. MATERIAL DISPENSING AND CONSUMPTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-042,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Weighing Integration,Captures weight directly from validated balances where available instead of transcription.,"Edge/Instrument Gateway, not Frappe itself.",10. MATERIAL DISPENSING AND CONSUMPTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-043,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Manual Weight Entry,Permits controlled manual entry where necessary with source identification and optional independent verification.,Frappe execution UI + GxP validation/signature rules.,10. MATERIAL DISPENSING AND CONSUMPTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-044,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Potency Adjustment,Applies approved calculation where active material quantity depends on potency/assay.,Validated calculation service.,10. MATERIAL DISPENSING AND CONSUMPTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-045,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Material Consumption,Associates exact quantities and lots with specific batch steps.,GxP genealogy + ERP inventory transaction connector.,10. MATERIAL DISPENSING AND CONSUMPTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
C-046,1,,"Master Product, Compliance & Architecture Bible",WP-00,docs/architecture,Return / Excess,Records unused returned quantities and reconciles them to issued quantities.,GxP reconciliation plus ERP movement connector.,10. MATERIAL DISPENSING AND CONSUMPTION,N/A (architecture / compliance baseline document),n/a (standard / governance document),Document_01_US_eBMR_eDHR_Master_Product_Compliance_Architecture_Bible_v1_1_FROZEN.md
